"filename", "language", "C++", "GLSL", "HTML", "comment", "blank", "total"
"c:\Users\ernes\Documents\Creations\amara2\amara2\actions\amara2_action.cpp", "C++", 202, 0, 0, 2, 34, 238
"c:\Users\ernes\Documents\Creations\amara2\amara2\actions\amara2_animation.cpp", "C++", 184, 0, 0, 0, 24, 208
"c:\Users\ernes\Documents\Creations\amara2\amara2\actions\amara2_autoProgress.cpp", "C++", 107, 0, 0, 0, 20, 127
"c:\Users\ernes\Documents\Creations\amara2\amara2\actions\amara2_delayNode.cpp", "C++", 53, 0, 0, 0, 9, 62
"c:\Users\ernes\Documents\Creations\amara2\amara2\actions\amara2_loader.cpp", "C++", 250, 0, 0, 0, 44, 294
"c:\Users\ernes\Documents\Creations\amara2\amara2\actions\amara2_processNode.cpp", "C++", 122, 0, 0, 0, 21, 143
"c:\Users\ernes\Documents\Creations\amara2\amara2\actions\amara2_repeatAction.cpp", "C++", 59, 0, 0, 0, 8, 67
"c:\Users\ernes\Documents\Creations\amara2\amara2\actions\amara2_stateMachine.cpp", "C++", 320, 0, 0, 0, 51, 371
"c:\Users\ernes\Documents\Creations\amara2\amara2\actions\amara2_textInput.cpp", "C++", 98, 0, 0, 0, 14, 112
"c:\Users\ernes\Documents\Creations\amara2\amara2\actions\amara2_tween.cpp", "C++", 243, 0, 0, 0, 36, 279
"c:\Users\ernes\Documents\Creations\amara2\amara2\actions\amara2_waitAction.cpp", "C++", 43, 0, 0, 0, 4, 47
"c:\Users\ernes\Documents\Creations\amara2\amara2\amara2.hpp", "C++", 217, 0, 0, 0, 65, 282
"c:\Users\ernes\Documents\Creations\amara2\amara2\assets\amara2_asset.cpp", "C++", 29, 0, 0, 0, 7, 36
"c:\Users\ernes\Documents\Creations\amara2\amara2\assets\amara2_audioAsset.cpp", "C++", 157, 0, 0, 0, 42, 199
"c:\Users\ernes\Documents\Creations\amara2\amara2\assets\amara2_fontAsset.cpp", "C++", 462, 0, 0, 3, 114, 579
"c:\Users\ernes\Documents\Creations\amara2\amara2\assets\amara2_imageAsset.cpp", "C++", 203, 0, 0, 2, 45, 250
"c:\Users\ernes\Documents\Creations\amara2\amara2\assets\amara2_tmxTilemapAsset.cpp", "C++", 478, 0, 0, 0, 64, 542
"c:\Users\ernes\Documents\Creations\amara2\amara2\audio\amara2_audio.cpp", "C++", 275, 0, 0, 0, 51, 326
"c:\Users\ernes\Documents\Creations\amara2\amara2\audio\amara2_audioGroup.cpp", "C++", 149, 0, 0, 0, 11, 160
"c:\Users\ernes\Documents\Creations\amara2\amara2\audio\amara2_audioMaster.cpp", "C++", 42, 0, 0, 0, 8, 50
"c:\Users\ernes\Documents\Creations\amara2\amara2\audio\amara2_audioPool.cpp", "C++", 122, 0, 0, 0, 16, 138
